event_id,frame,landmark_index,x_px,y_px
8,onset,5,-1,-1
8,onset,6,-1,-1
8,onset,7,144,200
8,onset,8,105,134
8,onset,9,-1,-1
8,onset,10,-1,-1
8,onset,11,127,243
8,onset,12,27,164
8,onset,13,176,362
8,onset,14,-14,163
8,onset,15,240,288
8,onset,16,81,168
8,onset,17,253,271
8,onset,18,118,164
8,onset,19,260,220
8,onset,20,134,154
8,onset,21,224,247
8,onset,22,122,139
8,onset,23,86,365
8,onset,24,20,331
8,onset,25,183,390
8,onset,26,123,375
8,onset,27,228,548
8,onset,28,54,513
8,onset,29,-1,-1
8,onset,30,-1,-1
8,onset,31,-1,-1
8,onset,32,-1,-1
8,peak,0,174,135
8,peak,1,-1,-1
8,peak,2,-1,-1
8,peak,3,-1,-1
8,peak,4,-1,-1
8,peak,5,-1,-1
8,peak,6,-1,-1
8,peak,7,143,198
8,peak,8,106,133
8,peak,9,-1,-1
8,peak,10,-1,-1
8,peak,11,127,243
8,peak,12,27,164
8,peak,13,177,362
8,peak,14,28,167
8,peak,15,240,290
8,peak,16,88,165
8,peak,17,255,272
8,peak,18,125,164
8,peak,19,260,221
8,peak,20,139,145
8,peak,21,224,246
8,peak,22,127,140
8,peak,23,86,365
8,peak,24,20,331
8,peak,25,183,390
8,peak,26,123,375
8,peak,27,228,548
8,peak,28,54,513
8,peak,29,-1,-1
8,peak,30,-1,-1
8,peak,31,-1,-1
8,peak,32,-1,-1
